sentence,gt,pred
dyno,vi,en
về night samba,vi,en
xa,vi,en
Vẫy tay,vi,unknown
safari,vi,en
hello,vi,en
alo alo 1,vi,unknown
123,vi,unknown
tours tour safari buổi tối,vi,en
Hổ Bengal to cỡ nào vậy?,vi,unknown
ủa alo the main vortex,vi,unknown
why,vi,en
Robot theo style gì?,vi,unknown
z,vi,en
drew,vi,en
ok,vi,unknown
vindynamics,vi,en
kdhfsdb,vi,en
Zipline vé bao tiền,vi,en
1 ounce bằng mấy kg?,vi,en
Junior Zookeeper diễn ra ở khu vực nào?,vi,en
explore về con vật,vi,en
con hổ,vi,en
hey dyno đi,en,vi
robot,vi,en
Jerry,vi,en
Also,vi,en
Anyway,vi,en
Ở Vinwonder,vi,en
Ở Safari,vi,unknown
Pygmy Marmoset to chừng nào,vi,unknown
eligibility để tham gia kidzoo?,vi,en
Gấu có mấy Species ?,vi,en
Botanical Garden trong safari là gì?,vi,unknown
VINES và GSM,en,unknown
Robot cho hỏi,vi,en
Pablo,vi,en
﻿TEXT,vi,en
many,vi,en
vinson,vi,en
alo alo,vi,unknown
really,vi,en
Where is the Khỉ sóc tai đen area on the safari route?,en,vi
Is Khỉ sóc đầu trắng closer to Kidzoo or the camel junction?,en,vi
Where is the Khỉ đầu chó Olive area on the safari route?,en,vi
Where is the Kết thúc tour area on the safari route?,en,vi
Is Linh dương nước closer to Kidzoo or the camel junction?,en,vi
Where is the Hươu cao cổ area on the safari route?,en,unknown
Where is the Hồ hồng hạc area on the safari route?,en,vi
Where is the Cự đà đỏ area on the safari route?,en,vi
Con hổ con,vi,en
Con Hổ Bengal,vi,en
Hổ Bengal to cỡ nào vậy?,vi,unknown
Gấu có mấy Species?,vi,en
Bear species ở khu nào vậy?,vi,en
Info Thiên nga,vi,en
Thằn lằn tegu size,vi,en
Thằn lằn da báo species,vi,en
Info Hồ cá sấu,vi,unknown
Show Hổ Bengal con,vi,en
How big is Thằn lằn da báo?,en,unknown
Is Voi châu Á dangerous?,en,vi
Is Linh dương Nyala a nocturnal animal?,en,unknown
Tell me about Lợn bướu châu Phi.,en,vi
Which zone has Hà mã?,en,vi
Is Chuột túi xám from Asia or Africa?,en,vi
How old can Linh dương đen lớn get?,en,vi
Does Linh dương sừng mác live near water?,en,vi
Can I take a photo of Linh dương sừng kiếm gemsbok?,en,vi
Is Linh dương vằn Bongo active today?,en,vi
Can kids watch Vẹt macaw xanh vàng?,en,vi
Which zone has Vẹt mào vàng?,en,vi
Is Sếu vương miện from Asia or Africa?,en,vi
How old can Sếu đầu đỏ get?,en,vi
Does Lạc đà 1 bướu live near water?,en,vi
Can I take a photo of Lạc đà 2 bướu?,en,vi
Is Đười ươi sumatra active today?,en,vi
